管理番号-幹番,管理番号-枝番,体外診薬-承認等番号,体外診薬-販売名,体外診薬-一般的名称,体外診薬-製造販売業者,JLAC検査名称,JLAC11-17,JLAC11-測定物,JLAC11-測定物（名称）,JLAC11-識別,JLAC11-識別（名称）,JLAC11-材料,JLAC11-材料（名称）,JLAC11-測定法,JLAC11-測定法（名称）,JLAC11-結果単位,JLAC11-結果単位（名称）,JLAC11-材料（2）,JLAC11-結果単位（2）,JLAC10-17,JLAC10-分析物,JLAC10-分析物（名称）,JLAC10-識別,JLAC10-識別（名称）,JLAC10-材料,JLAC10-材料（名称）,JLAC10-測定法,JLAC10-測定法（名称）,JLAC10-結果識別,JLAC10-結果識別（名称）,JLAC10-材料（2）,保険-診療行為コード,保険-診療行為名称,保険-点数,備考-体外診薬,備考-JLAC,備考-保険,更新区分,更新日付
10A1006022,1,16100AMY00295000,Ｃｏｍｂｕｒ　テスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,ロシュ・ダイアグノスティックス株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-022-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,22,化学発色法_Ｃｏｍｂｕｒ　テスト,2,定性･判定,,,1A990-0000-001-901-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006022,2,16100AMY00295000,Ｃｏｍｂｕｒ　テスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,ロシュ・ダイアグノスティックス株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-022-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,22,化学発色法_Ｃｏｍｂｕｒ　テスト,7,クラス,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006022,3,16100AMY00295000,Ｃｏｍｂｕｒ　テスト,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,ロシュ・ダイアグノスティックス株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-022-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,22,化学発色法_Ｃｏｍｂｕｒ　テスト,85,mg/dL,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006019,1,16100AMZ03211000,ウリエース,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,テルモ株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-019-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,19,化学発色法_ウリエース,2,定性･判定,,,1A990-0000-001-901-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006019,2,16100AMZ03211000,ウリエース,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,テルモ株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-019-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,19,化学発色法_ウリエース,7,クラス,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006019,3,16100AMZ03211000,ウリエース,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,テルモ株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-019-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,19,化学発色法_ウリエース,85,mg/dL,,,1A990-0000-001-901-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006020,4,16100AMZ03211000,ウリエース,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,テルモ株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-020-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,20,化学発色法（機械読み取り）_ウリエース,2,定性･判定,,,1A990-0000-001-911-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006020,5,16100AMZ03211000,ウリエース,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,テルモ株式会社,尿蛋白(尿試験紙法)-クラス,A1006-0402-100-020-07,A1006,蛋白[尿試験紙法],402,クラス,100,尿,20,化学発色法（機械読み取り）_ウリエース,7,クラス,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006020,6,16100AMZ03211000,ウリエース,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,テルモ株式会社,尿蛋白(尿試験紙法)-クラス(量),A1006-0402-100-020-85,A1006,蛋白[尿試験紙法],402,クラス,100,尿,20,化学発色法（機械読み取り）_ウリエース,85,mg/dL,,,1A990-0000-001-911-71,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),911,化学発色法（機械読み取り）,71,蛋白　半定量,,160000310.0,尿一般,26.0,,,,3,20191008
10A1006051,1,16100AMZ03365000,エームス尿検査試験紙,30181002^総蛋白キット~80001002^クラスII汎用検査用シリーズ,シーメンスヘルスケア・ダイアグノスティクス株式会社,尿蛋白(尿試験紙法)-判定,A1006-0403-100-051-02,A1006,蛋白[尿試験紙法],403,判定,100,尿,51,化学発色法_エームス尿検査試験紙,2,定性･判定,,,1A990-0000-001-901-53,1A990,尿一般物質定性半定量検査,0,,1,尿(含むその他),901,化学発色法,53,蛋白 定性,,160000310.0,尿一般,26.0,,,,3,20191008
